+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
|    |    |    |    |    | tr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ai |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | se |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | at |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ed |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | vi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Co |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ol |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | id |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | bw |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | an |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | sh |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ou |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ld |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | s_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ph |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ot |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | o_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | po |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _s |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | te |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 91 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 9. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 30 | ht | Au | Ma | ht | Ca | ht | Ca | ht | 18 | (L | 29 | Re | ht | (1 | 35 | (1 | Ch | h |
| tp |    | tp | gu | rc | tp | lv | tp | lv | tp | 72 | iv | th | pu | tp | 92 |    | 92 | ar | t |
| s: |    | s: | st | h  | s: | in | s: | in | s: | –1 | ed |  V | bl | s: | 4) |    | 5) | le | t |
| // |    | // | 2, | 4, | // | Co | // | Co | // | 93 | :  | ic | ic | // |    |    |    | s  | p |
| en |    | en | 19 | 19 | up | ol | en | ol | en | 3  | 60 | e  | an | en |    |    |    | G. | s |
| .w |    | .w | 23 | 29 | lo | id | .w | id | .w |    | ye | Pr |    | .w |    |    |    | Da | : |
| ik |    | ik |  [ |    | ad | ge | ik | ge | ik |    | ar | es |    | ik |    |    |    | we | / |
| ip |    | ip | q] |    | .w | ,  | ip |    | ip |    | s) | id |    | ip |    |    |    | s  | / |
| ed |    | ed |    |    | ik | bw | ed |    | ed |    |    | en |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | he | ia |    | ia |    |    | t  |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | ad | .o |    | .o |    |    | of |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | an | rg |    | rg |    |    | th |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | d  | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | sh | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | ou | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | ld | Fi |    | Ca |    |    | ed |    | Re |    |    |    |    | p |
| st |    | es |    |    | ip | er | le |    | lv |    |    | St |    | pu |    |    |    |    | e |
| _o |    | id |    |    | ed | s  | :C |    | in |    |    | at |    | bl |    |    |    |    | d |
| f_ |    | en |    |    | ia | ph | al |    | _C |    |    | es |    | ic |    |    |    |    | i |
| Pr |    | cy |    |    | /c | ot | vi |    | oo |    |    |    |    | an |    |    |    |    | a |
| es |    | _o |    |    | om | o  | n_ |    | li |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo | po | Co |    | dg |    |    |    |    | ar |    |    |    |    | o |
| en |    | Ca |    |    | ns | rt | ol |    | e  |    |    |    |    | ty |    |    |    |    | r |
| ts |    | lv |    |    | /t | ra | id |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | in |    |    | hu | it | ge |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | _C |    |    | mb | se | ,_ |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | oo |    |    | /3 | at | bw |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | li |    |    | /3 | ed | _h |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | dg |    |    | 7/ | ,  | ea |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    | e  |    |    | Ca | 19 | d_ |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | lv | 19 | an |    |    |    |    |    |    | s) |    |    |    |    | C |
| _S |    |    |    |    | in | .j | d_ |    |    |    |    |    |    |    |    |    |    |    | h |
| ta |    |    |    |    | _C | pg | sh |    |    |    |    |    |    |    |    |    |    |    | a |
| te |    |    |    |    | oo |    | ou |    |    |    |    |    |    |    |    |    |    |    | r |
| s  |    |    |    |    | li |    | ld |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | dg |    | er |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | e% |    | s_ |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | 2C |    | ph |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | _b |    | ot |    |    |    |    |    |    |    |    |    |    |    | G |
|    |    |    |    |    | w_ |    | o_ |    |    |    |    |    |    |    |    |    |    |    | . |
|    |    |    |    |    | he |    | po |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | ad |    | rt |    |    |    |    |    |    |    |    |    |    |    | D |
|    |    |    |    |    | _a |    | ra |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | nd |    | it |    |    |    |    |    |    |    |    |    |    |    | w |
|    |    |    |    |    | _s |    | _s |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | ho |    | ea |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | ul |    | te |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | de |    | d, |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rs |    | _1 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _p |    | 91 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ho |    | 9. |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    | jp |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _p |    | g  |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | tr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ai |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | se |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | at |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ed |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 19 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | al |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | vi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Co |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ol |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | id |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | bw |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | an |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | sh |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ou |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ld |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | s_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ph |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ot |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | o_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
