+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
| https: | 74   | Sherpi | 7,380  | 24,213 | 1,320 | Salto | 35°27 | Ghent | 1976  | 1 (1) | India |
| //en.w |      | Kangri |        |        |       | ro Ka | ′58″N | Kangr |       |       | • Pak |
| ikiped |      |        |        |        |       | rakor | 76°46 | i     |       |       | istan |
| ia.org |      |        |        |        |       | am    | ′53″E |       |       |       | [dp   |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 1][dp |
| List_o |      |        |        |        |       |       | 46611 |       |       |       | 3]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .7813 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.46 |       |       |       |       |
| arth   |      |        |        |        |       |       | 611;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.78 |       |       |       |       |
|        |      |        |        |        |       |       | 139   |       |       |       |       |
|        |      |        |        |        |       |       | (74.  |       |       |       |       |
|        |      |        |        |        |       |       | Sherp |       |       |       |       |
|        |      |        |        |        |       |       | i Kan |       |       |       |       |
|        |      |        |        |        |       |       | gri   |       |       |       |       |
|        |      |        |        |        |       |       | (7380 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 75   | Labuch | 7,367  | 24,170 | 1,957 | Labuc | 28°18 | Cho   | 1987  | 1 (0) | China |
| //en.w |      | e Kang |        |        |       | he Hi | ′15″N | Oyu   |       |       |       |
| ikiped |      |        |        |        |       | malay | 86°21 |       |       |       |       |
| ia.org |      |        |        |        |       | a     | ′03″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 30417 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3508 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.30 |       |       |       |       |
